s[T,D,AA->AB,1(10),173,4,16,44829,44946]
s[R,A,AB->AA,0(9),173,0,0,0,45027]
s[T,D,AA->AB,1(10),174,5,16,45041,45159]
s[R,A,AB->AA,0(9),174,0,0,0,45240]
s[T,D,AA->AB,1(10),175,9,16,45256,45378]
s[R,A,AB->AA,0(9),175,0,0,0,45459]
s[T,D,AA->AB,1(10),176,15,16,45472,45600]
s[R,A,AB->AA,0(9),176,0,0,0,45681]
s[T,D,AA->AB,1(10),177,14,16,45696,45823]
s[R,A,AB->AA,0(9),177,0,0,0,45904]
s[T,D,AA->AB,1(10),178,8,16,45920,46041]
s[R,A,AB->AA,0(9),178,0,0,0,46122]
s[T,D,AA->AB,1(10),179,12,16,46135,46260]
s[R,A,AB->AA,0(9),179,0,0,0,46341]
s[T,D,AA->AB,1(10),180,3,16,46355,46471]
s[R,A,AB->AA,0(9),180,0,0,0,46552]
s[T,D,AA->AB,1(10),181,4,16,46567,46684]
s[R,A,AB->AA,0(9),181,0,0,0,46765]
s[T,D,AA->AB,1(10),182,10,16,46779,46902]
s[R,A,AB->AA,0(9),182,0,0,0,46983]
s[T,D,AA->AB,1(10),183,10,16,46999,47122]
s[R,A,AB->AA,0(9),183,0,0,0,47203]
s[T,D,AA->AB,1(10),184,8,16,47219,47340]
s[R,A,AB->AA,0(9),184,0,0,0,47421]
s[T,D,AA->AB,1(10),185,8,16,47434,47555]
s[R,A,AB->AA,0(9),185,0,0,0,47636]
s[T,D,AA->AB,1(10),186,14,16,47650,47777]
s[R,A,AB->AA,0(9),186,0,0,0,47858]
s[T,D,AA->AB,1(10),187,15,16,47874,48002]
s[R,A,AB->AA,0(9),187,0,0,0,48083]
s[T,D,AA->AB,1(10),188,5,16,48097,48215]
s[R,A,AB->AA,0(9),188,0,0,0,48296]
s[T,D,AA->AB,1(10),189,6,16,48309,48428]
s[R,A,AB->AA,0(9),189,0,0,0,48509]
s[T,D,AA->AB,1(10),190,4,16,48525,48642]
s[R,A,AB->AA,0(9),190,0,0,0,48723]
s[T,D,AA->AB,1(10),191,3,16,48737,48853]
s[R,A,AB->AA,0(9),191,0,0,0,48934]
s[T,D,AA->AB,1(10),192,4,16,48949,49066]
s[R,A,AB->AA,0(9),192,0,0,0,49147]
s[T,D,AA->AB,1(10),193,14,16,49159,49286]
s[R,A,AB->AA,0(9),193,0,0,0,49367]
s[T,D,AA->AB,1(10),194,11,16,49380,49504]
